Transaction ID,Day,Month,Year,Day Name,Brand,Units Sold,Price Per Unit,Customer Name,Customer Age,City,Payment Method,Customer Ratings,Mobile Model
1,9,10,2021,Sat,Xiaomi,6,10174.7,Lalita Ahuja,38,Ludhiana,UPI,5,Redmi Note 10
2,9,10,2021,Saturday,Vivo,6,10565.19,Sneha Sharma,37,Delhi,Credit Card,3,Vivo Y51
3,9,10,2021,Saturday,Vivo,8,58527.58,Radha Srivastava,40,Mumbai,UPI,5,Vivo S1
4,10,10,2021,Sunday,Xiaomi,5,25563.98,Bhavana Arora,21,Mumbai,Credit Card,4,Mi 11
5,10,10,2021,Sunday,OnePlus,3,48168.02,Sneha Mehta,38,Gorakhpur,Cash,5,OnePlus 9
6,10,10,2021,Sunday,Samsung,3,37252.87,Reena Mehta,38,Jodhpur,UPI,3,Galaxy Note 20
7,10,10,2021,Sun,OnePlus,6,61805.8,Pankaj Alva,18,Delhi,Cash,4,OnePlus Nord
8,11,10,2021,Monday,Apple,2,65017.67,Mala Rawat,32,Vadodara,Cash,3,iPhone 12
9,11,10,2021,Mon,Vivo,6,69808.46,Pankaj Varma,34,Delhi,UPI,5,Vivo Y51
10,11,10,2021,Monday,Samsung,6,19221.05,Yogesh Sharma,31,Mumbai,Debit Card,2,Galaxy A51
11,12,10,2021,Tuesday,Samsung,8,61777.84,Radha Sharma,36,Madurai,Credit Card,5,Galaxy A51
12,12,10,2021,Tuesday,Apple,7,25961.28,Namita Roy,51,Delhi,UPI,4,iPhone 12
13,12,10,2021,Tuesday,Apple,8,45448.95,Ramesh Joshi,23,Mumbai,Cash,5,iPhone 12
14,13,10,2021,Wed,Xiaomi,9,40346.37,Arun Iyer,23,Hyderabad,Credit Card,2,Redmi Note 10
15,13,10,2021,Wednesday,Vivo,6,11079.29,Manoj Siddiqui,22,Chennai,Cash,5,Vivo V20
16,13,10,2021,Wednesday,Vivo,3,65966.28,Anjali Gupta,24,Mumbai,Credit Card,2,Vivo Y51
17,14,10,2021,Thursday,OnePlus,3,14699.62,Ramesh Rao,50,Coimbatore,UPI,4,OnePlus Nord
18,14,10,2021,Thu,Xiaomi,1,51293.14,Anand Pillai,30,Delhi,Cash,3,Redmi Note 10
19,14,10,2021,Thursday,Xiaomi,5,57100.41,Kiran Rawat,18,Mumbai,Credit Card,4,Redmi Note 10
20,14,10,2021,Thursday,Xiaomi,4,57717.27,Harish Kaur,30,Mumbai,Credit Card,5,Redmi Note 10
21,15,10,2021,Friday,Xiaomi,9,18129.67,Manoj Luthra,44,Coimbatore,UPI,4,Mi 11
22,15,10,2021,Friday,Vivo,9,36854.2,Jyoti Roy,24,Vadodara,Credit Card,5,Vivo S1
23,15,10,2021,Fri,Vivo,5,59765.73,Rajesh Sheth,20,Kolkata,Credit Card,5,Vivo S1
24,16,10,2021,Saturday,Xiaomi,4,28160.75,Mala Ghosh,42,Mumbai,Cash,5,Redmi Note 10
25,16,10,2021,Saturday,OnePlus,7,38064.92,Reena Teja,50,Delhi,UPI,2,OnePlus Nord
